Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
8.05840584058410e+08	2.09759916526650e-01,-9.71188665913289e-01
8.05880588058810e+08	2.07724876279463e-01,-9.71636461363860e-01
8.05920592059210e+08	2.05688902206767e-01,-9.72079992385600e-01
8.05960596059610e+08	2.03652003246343e-01,-9.72519257030492e-01
8.06000600060010e+08	2.01614188340037e-01,-9.72954253369282e-01
8.06040604060410e+08	1.99575466433748e-01,-9.73384979491454e-01
8.06080608060810e+08	1.97535846477337e-01,-9.73811433505276e-01
8.06120612061210e+08	1.95495337424622e-01,-9.74233613537739e-01
8.06160616061610e+08	1.93453948233297e-01,-9.74651517734615e-01
8.06200620062010e+08	1.91411687865024e-01,-9.75065144260510e-01
8.06240624062410e+08	1.89368565285173e-01,-9.75474491298742e-01
8.06280628062810e+08	1.87324589462981e-01,-9.75879557051480e-01
8.06320632063210e+08	1.85279769371403e-01,-9.76280339739682e-01
8.06360636063611e+08	1.83234113987131e-01,-9.76676837603115e-01
8.06400640064011e+08	1.81187632290498e-01,-9.77069048900370e-01
8.06440644064411e+08	1.79140333265505e-01,-9.77456971908863e-01
8.06480648064811e+08	1.77092225899704e-01,-9.77840604924860e-01
8.06520652065211e+08	1.75043319184243e-01,-9.78219946263454e-01
8.06560656065611e+08	1.72993622113767e-01,-9.78594994258613e-01
8.06600660066011e+08	1.70943143686389e-01,-9.78965747263128e-01
8.06640664066411e+08	1.68891892903674e-01,-9.79332203648699e-01
8.06680668066811e+08	1.66839878770554e-01,-9.79694361805843e-01
8.06720672067211e+08	1.64787110295333e-01,-9.80052220144014e-01
8.06760676067611e+08	1.62733596489627e-01,-9.80405777091504e-01
8.06800680068011e+08	1.60679346368344e-01,-9.80755031095547e-01
8.06840684068411e+08	1.58624368949615e-01,-9.81099980622235e-01
8.06880688068811e+08	1.56568673254776e-01,-9.81440624156601e-01
8.06920692069211e+08	1.54512268308310e-01,-9.81776960202568e-01
8.06960696069612e+08	1.52455163137819e-01,-9.82108987282997e-01
8.07000700070012e+08	1.50397366773993e-01,-9.82436703939656e-01
8.07040704070412e+08	1.48338888250568e-01,-9.82760108733289e-01
8.07080708070812e+08	1.46279736604252e-01,-9.83079200243509e-01
8.07120712071212e+08	1.44219920874704e-01,-9.83393977068933e-01
8.07160716071612e+08	1.42159450104584e-01,-9.83704437827142e-01
8.07200720072012e+08	1.40098333339286e-01,-9.84010581154590e-01
8.07240724072412e+08	1.38036579627201e-01,-9.84312405706797e-01
8.07280728072812e+08	1.35974198019417e-01,-9.84609910158201e-01
8.07320732073212e+08	1.33911197569838e-01,-9.84903093202230e-01
8.07360736073612e+08	1.31847587335030e-01,-9.85191953551268e-01
8.07400740074012e+08	1.29783376374312e-01,-9.85476489936749e-01
8.07440744074412e+08	1.27718573749556e-01,-9.85756701109003e-01
8.07480748074812e+08	1.25653188525297e-01,-9.86032585837441e-01
8.07520752075212e+08	1.23587229768666e-01,-9.86304142910472e-01
8.07560756075613e+08	1.21520706549193e-01,-9.86571371135462e-01
8.07600760076013e+08	1.19453627939011e-01,-9.86834269338845e-01
8.07640764076413e+08	1.17386003012630e-01,-9.87092836366054e-01
8.07680768076813e+08	1.15317840846982e-01,-9.87347071081540e-01
8.07720772077213e+08	1.13249150521345e-01,-9.87596972368796e-01
8.07760776077613e+08	1.11179941117346e-01,-9.87842539130341e-01
8.07800780078013e+08	1.09110221718872e-01,-9.88083770287761e-01
8.07840784078413e+08	1.07040001412026e-01,-9.88320664781619e-01
8.07880788078813e+08	1.04969289285163e-01,-9.88553221571602e-01
8.07920792079213e+08	1.02898094428807e-01,-9.88781439636435e-01
8.07960796079613e+08	1.00826425935543e-01,-9.89005317973864e-01
8.08000800080013e+08	9.87542929000867e-02,-9.89224855600736e-01
8.08040804080413e+08	9.66817044191574e-02,-9.89440051552939e-01
8.08080808080813e+08	9.46086695915170e-02,-9.89650904885445e-01
8.08120812081213e+08	9.25351975178536e-02,-9.89857414672300e-01
8.08160816081614e+08	9.04612973008229e-02,-9.90059580006635e-01
8.08200820082014e+08	8.83869780448969e-02,-9.90257400000657e-01
8.08240824082414e+08	8.63122488564567e-02,-9.90450873785666e-01
8.08280828082814e+08	8.42371188436125e-02,-9.90640000512032e-01
8.08320832083214e+08	8.21615971163365e-02,-9.90824779349273e-01
8.08360836083614e+08	8.00856927862162e-02,-9.91005209485947e-01
8.08400840084014e+08	7.80094149665866e-02,-9.91181290129732e-01
8.08440844084414e+08	7.59327727724021e-02,-9.91353020507445e-01
8.08480848084814e+08	7.38557753202115e-02,-9.91520399864955e-01
8.08520852085214e+08	7.17784317281448e-02,-9.91683427467298e-01
8.08560856085614e+08	6.97007511158321e-02,-9.91842102598577e-01
8.08600860086014e+08	6.76227426043902e-02,-9.91996424562039e-01
8.08640864086414e+08	6.55444153163893e-02,-9.92146392680064e-01
8.08680868086814e+08	6.34657783757782e-02,-9.92292006294134e-01
8.08720872087214e+08	6.13868409079301e-02,-9.92433264764907e-01
8.08760876087615e+08	5.93076120394382e-02,-9.92570167472098e-01
8.08800880088015e+08	5.72281008982395e-02,-9.92702713814583e-01
8.08840884088415e+08	5.51483166134897e-02,-9.92830903210402e-01
8.08880888088815e+08	5.30682683155651e-02,-9.92954735096707e-01
