Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
7.05220522052201e+07	-9.72568868709627e-01,2.31461223674511e-01
7.05280528052801e+07	-9.72502213819433e-01,2.31739053148507e-01
7.05340534053401e+07	-9.72435479214777e-01,2.32016863322942e-01
7.05400540054001e+07	-9.72368664901248e-01,2.32294654175006e-01
7.05460546054601e+07	-9.72301770884533e-01,2.32572425681878e-01
7.05520552055201e+07	-9.72234797170190e-01,2.32850177820752e-01
7.05580558055801e+07	-9.72167743763851e-01,2.33127910568813e-01
7.05640564056401e+07	-9.72100610671242e-01,2.33405623903263e-01
7.05700570057001e+07	-9.72033397897855e-01,2.33683317801276e-01
7.05760576057601e+07	-9.71966105449471e-01,2.33960992240070e-01
7.05820582058201e+07	-9.71898733331729e-01,2.34238647196831e-01
7.05880588058801e+07	-9.71831281550226e-01,2.34516282648748e-01
7.05940594059401e+07	-9.71763750110698e-01,2.34793898573041e-01
7.06000600060001e+07	-9.71696139018845e-01,2.35071494946898e-01
7.06060606060601e+07	-9.71628448280241e-01,2.35349071747521e-01
7.06120612061201e+07	-9.71560677900642e-01,2.35626628952120e-01
7.06180618061801e+07	-9.71492827885745e-01,2.35904166537903e-01
7.06240624062401e+07	-9.71424898241342e-01,2.36181684482086e-01
7.06300630063001e+07	-9.71356888972966e-01,2.36459182761855e-01
7.06360636063601e+07	-9.71288800086466e-01,2.36736661354438e-01
7.06420642064201e+07	-9.71220631587498e-01,2.37014120237047e-01
7.06480648064801e+07	-9.71152383481791e-01,2.37291559386901e-01
7.06540654065401e+07	-9.71084055775127e-01,2.37568978781204e-01
7.06600660066001e+07	-9.71015648473245e-01,2.37846378397184e-01
7.06660666066601e+07	-9.70947161581831e-01,2.38123758212059e-01
7.06720672067201e+07	-9.70878595106704e-01,2.38401118203046e-01
7.06780678067801e+07	-9.70809949053627e-01,2.38678458347377e-01
7.06840684068401e+07	-9.70741223428323e-01,2.38955778622272e-01
7.06900690069001e+07	-9.70672418236567e-01,2.39233079004957e-01
7.06960696069601e+07	-9.70603533484165e-01,2.39510359472653e-01
7.07020702070201e+07	-9.70534569176966e-01,2.39787620002615e-01
7.07080708070801e+07	-9.70465525320637e-01,2.40064860572043e-01
7.07140714071401e+07	-9.70396401921061e-01,2.40342081158198e-01
7.07200720072001e+07	-9.70327198984029e-01,2.40619281738291e-01
7.07260726072601e+07	-9.70257916515354e-01,2.40896462289564e-01
7.07320732073201e+07	-9.70188554520829e-01,2.41173622789273e-01
7.07380738073801e+07	-9.70119113006329e-01,2.41450763214645e-01
7.07440744074401e+07	-9.70049591977686e-01,2.41727883542925e-01
7.07500750075001e+07	-9.69979991440718e-01,2.42004983751350e-01
7.07560756075601e+07	-9.69910311401227e-01,2.42282063817169e-01
7.07620762076201e+07	-9.69840551865153e-01,2.42559123717632e-01
7.07680768076801e+07	-9.69770712838289e-01,2.42836163429994e-01
7.07740774077401e+07	-9.69700794326502e-01,2.43113182931483e-01
7.07800780078001e+07	-9.69630796335685e-01,2.43390182199363e-01
7.07860786078601e+07	-9.69560718871737e-01,2.43667161210897e-01
7.07920792079201e+07	-9.69490561940546e-01,2.43944119943334e-01
7.07980798079801e+07	-9.69420325547956e-01,2.44221058373926e-01
7.08040804080401e+07	-9.69350009699845e-01,2.44497976479937e-01
7.08100810081001e+07	-9.69279614402273e-01,2.44774874238628e-01
7.08160816081601e+07	-9.69209139660929e-01,2.45051751627247e-01
7.08220822082201e+07	-9.69138585481882e-01,2.45328608623088e-01
7.08280828082801e+07	-9.69067951871017e-01,2.45605445203388e-01
7.08340834083401e+07	-9.68997238834304e-01,2.45882261345440e-01
7.08400840084001e+07	-9.68926446377572e-01,2.46159057026480e-01
7.08460846084601e+07	-9.68855574506877e-01,2.46435832223805e-01
7.08520852085201e+07	-9.68784623228071e-01,2.46712586914690e-01
7.08580858085801e+07	-9.68713592547186e-01,2.46989321076391e-01
