Freq.	S11(v1)	S21(v1)
2.67267276376377e+07	-1.61444426114170e-01,-2.17418677687884e-01	7.70004983832680e-01,-5.77697287808668e-01
2.70270279369370e+07	-1.64100178553966e-01,-2.17888378798377e-01	7.65580768858065e-01,-5.82630941312218e-01
2.73273282362363e+07	-1.66748578732978e-01,-2.18308022748966e-01	7.61133298073931e-01,-5.87528286805828e-01
2.76276285355356e+07	-1.69388788129085e-01,-2.18677735523904e-01	7.56662980608474e-01,-5.92389576644955e-01
2.79279288348349e+07	-1.72019972835948e-01,-2.18997653510960e-01	7.52170212240563e-01,-5.97215071328002e-01
2.82282291341342e+07	-1.74641303588910e-01,-2.19267923260478e-01	7.47655375223686e-01,-6.02005039135752e-01
2.85285294334335e+07	-1.77251955780443e-01,-2.19488701248368e-01	7.43118838117816e-01,-6.06759755769909e-01
2.88288297327328e+07	-1.79851109465299e-01,-2.19660153643350e-01	7.38560955629006e-01,-6.11479503990906e-01
2.91291300320321e+07	-1.82437949355604e-01,-2.19782456078806e-01	7.33982068456501e-01,-6.16164573255128e-01
2.94294303313314e+07	-1.85011664806054e-01,-2.19855793429544e-01	7.29382503147159e-01,-6.20815259351697e-01
2.97297306306307e+07	-1.87571449789458e-01,-2.19880359593802e-01	7.24762571956983e-01,-6.25431864038932e-01
3.00300309299300e+07	-1.90116502862823e-01,-2.19856357280795e-01	7.20122572719536e-01,-6.30014694680605e-01
3.03303312292293e+07	-1.92646027124203e-01,-2.19783997804108e-01	7.15462788721041e-01,-6.34564063882069e-01
3.06306315285286e+07	-1.95159230160534e-01,-2.19663500881227e-01	7.10783488581943e-01,-6.39080289126357e-01
3.09309318278279e+07	-1.97655323986684e-01,-2.19495094439490e-01	7.06084926144723e-01,-6.43563692410303e-01
3.12312321271272e+07	-2.00133524975946e-01,-2.19279014428747e-01	7.01367340367750e-01,-6.48014599880745e-01
3.15315324264265e+07	-2.02593053782210e-01,-2.19015504640983e-01	6.96630955224958e-01,-6.52433341470832e-01
3.18318327257258e+07	-2.05033135254043e-01,-2.18704816537191e-01	6.91875979611143e-01,-6.56820250536473e-01
3.21321330250251e+07	-2.07452998340933e-01,-2.18347209081740e-01	6.87102607252648e-01,-6.61175663492927e-01
3.24324333243244e+07	-2.09851875991919e-01,-2.17942948584489e-01	6.82311016623274e-01,-6.65499919451527e-01
3.27327336236237e+07	-2.12229005046867e-01,-2.17492308550915e-01	6.77501370865161e-01,-6.69793359856510e-01
3.30330339229230e+07	-2.14583626120636e-01,-2.16995569540470e-01	6.72673817714483e-01,-6.74056328121943e-01
3.33333342222223e+07	-2.16914983480373e-01,-2.16453019033433e-01	6.67828489431744e-01,-6.78289169268662e-01
3.36336345215216e+07	-2.19222324916205e-01,-2.15864951306466e-01	6.62965502736475e-01,-6.82492229561186e-01
3.39339348208209e+07	-2.21504901605575e-01,-2.15231667317123e-01	6.58084958746173e-01,-6.86665856144528e-01
3.42342351201202e+07	-2.23761967971467e-01,-2.14553474597530e-01	6.53186942919283e-01,-6.90810396680795e-01
3.45345354194195e+07	-2.25992781534798e-01,-2.13830687157458e-01	6.48271525002054e-01,-6.94926198985499e-01
3.48348357187188e+07	-2.28196602761220e-01,-2.13063625397007e-01	6.43338758979112e-01,-6.99013610663448e-01
3.51351360180181e+07	-2.30372694902602e-01,-2.12252616029131e-01	6.38388683027585e-01,-7.03072978744087e-01
3.54354363173174e+07	-2.32520323833457e-01,-2.11397992012197e-01	6.33421319474632e-01,-7.07104649316164e-01
3.57357366166167e+07	-2.34638757882579e-01,-2.10500092492818e-01	6.28436674758234e-01,-7.11108967161537e-01
3.60360369159160e+07	-2.36727267660151e-01,-2.09559262759147e-01	6.23434739391117e-01,-7.15086275387994e-01
3.63363372152153e+07	-2.38785125880617e-01,-2.08575854204858e-01	6.18415487927681e-01,-7.19036915060865e-01
3.66366375145146e+07	-2.40811607181573e-01,-2.07550224304020e-01	6.13378878933825e-01,-7.22961224833275e-01
3.69369378138139e+07	-2.42805987938960e-01,-2.06482736597076e-01	6.08324854959562e-01,-7.26859540574799e-01
3.72372381131132e+07	-2.44767546078852e-01,-2.05373760688127e-01	6.03253342514342e-01,-7.30732194998332e-01
3.75375384124125e+07	-2.46695560886107e-01,-2.04223672253749e-01	5.98164252044992e-01,-7.34579517284929e-01
3.78378387117118e+07	-2.48589312810186e-01,-2.03032853063533e-01	5.93057477916212e-01,-7.38401832706387e-01
3.81381390110111e+07	-2.50448083268427e-01,-2.01801691012578e-01	5.87932898393572e-01,-7.42199462245316e-01
3.84384393103104e+07	-2.52271154447071e-01,-2.00530580166138e-01	5.82790375628975e-01,-7.45972722212436e-01
3.87387396096097e+07	-2.54057809100359e-01,-1.99219920816643e-01	5.77629755648545e-01,-7.49721923860835e-01
3.90390399089090e+07	-2.55807330347986e-01,-1.97870119553308e-01	5.72450868342941e-01,-7.53447372996899e-01
3.93393402082083e+07	-2.57519001471261e-01,-1.96481589344557e-01	5.67253527460096e-01,-7.57149369587633e-01
3.96396405075076e+07	-2.59192105708269e-01,-1.95054749633463e-01	5.62037530600398e-01,-7.60828207364052e-01
3.99399408068069e+07	-2.60825926048386e-01,-1.93590026446456e-01	5.56802659214344e-01,-7.64484173420347e-01
4.02402411061062e+07	-2.62419745026481e-01,-1.92087852515500e-01	5.51548678602739e-01,-7.68117547808499e-01
4.05405414054055e+07	-2.63972844517153e-01,-1.90548667413980e-01	5.46275337919481e-01,-7.71728603128003e-01
4.08408417047048e+07	-2.65484505529371e-01,-1.88972917706538e-01	5.40982370177048e-01,-7.75317604110368e-01
4.11411420040041e+07	-2.66954008001877e-01,-1.87361057113074e-01	5.35669492254781e-01,-7.78884807198038e-01
4.14414423033034e+07	-2.68380630599746e-01,-1.85713546687174e-01	5.30336404910095e-01,-7.82430460117389e-01
4.17417426026027e+07	-2.69763650512481e-01,-1.84030855009189e-01	5.24982792792774e-01,-7.85954801445411e-01
4.20420429019020e+07	-2.71102343254069e-01,-1.82313458394220e-01	5.19608324462507e-01,-7.89458060169728e-01
4.23423432012013e+07	-2.72395982465406e-01,-1.80561841115260e-01	5.14212652409883e-01,-7.92940455241554e-01
4.26426435005006e+07	-2.73643839719536e-01,-1.78776495641735e-01	5.08795413081042e-01,-7.96402195121210e-01
4.29429437997999e+07	-2.74845184330151e-01,-1.76957922893707e-01	5.03356226906234e-01,-7.99843477315793e-01
4.32432440990992e+07	-2.75999283163824e-01,-1.75106632512001e-01	4.97894698332557e-01,-8.03264487908613e-01
4.35435443983985e+07	-2.77105400456468e-01,-1.73223143144504e-01	4.92410415861169e-01,-8.06665401079976e-01
4.38438446976978e+07	-2.78162797634525e-01,-1.71307982748915e-01	4.86902952089291e-01,-8.10046378618906e-01
4.41441449969971e+07	-2.79170733141412e-01,-1.69361688912193e-01	4.81371863757361e-01,-8.13407569425395e-01
4.44444452962964e+07	-2.80128462269781e-01,-1.67384809186998e-01	4.75816691801723e-01,-8.16749109002755e-01
4.47447455955957e+07	-2.81035237000164e-01,-1.65377901445354e-01	4.70236961413247e-01,-8.20071118939652e-01
4.50450458948950e+07	-2.81890305846599e-01,-1.63341534249845e-01	4.64632182102355e-01,-8.23373706381397e-01
4.53453461941942e+07	-2.82692913709869e-01,-1.61276287242581e-01	4.59001847770902e-01,-8.26656963490071e-01
4.56456464934935e+07	-2.83442301739005e-01,-1.59182751552221e-01	4.53345436791457e-01,-8.29920966893047e-01
4.59459467927928e+07	-2.84137707201721e-01,-1.57061530219306e-01	4.47662412094500e-01,-8.33165777119510e-01
4.62462470920921e+07	-2.84778363364522e-01,-1.54913238640181e-01	4.41952221264166e-01,-8.36391438024512e-01
