Freq.	S11(v1)	S21(v1)
4.71171171171170e+07	-2.84920925535405e-01,-1.51548601887959e-01	3.99613447581714e-01,-8.33077971523191e-01
4.72072072072071e+07	-2.85046266610345e-01,-1.50858059943614e-01	3.97858958409940e-01,-8.33953169950491e-01
4.72972972972972e+07	-2.85166202275908e-01,-1.50165431455951e-01	3.96101941063589e-01,-8.34826428450607e-01
4.73873873873873e+07	-2.85280711677529e-01,-1.49470736386162e-01	3.94342379560138e-01,-8.35697744913037e-01
4.74774774774773e+07	-2.85389773933275e-01,-1.48773994822309e-01	3.92580257812450e-01,-8.36567117058417e-01
4.75675675675674e+07	-2.85493368133760e-01,-1.48075226980787e-01	3.90815559629426e-01,-8.37434542436962e-01
4.76576576576575e+07	-2.85591473342206e-01,-1.47374453207675e-01	3.89048268716526e-01,-8.38300018426916e-01
4.77477477477476e+07	-2.85684068594442e-01,-1.46671693980189e-01	3.87278368676383e-01,-8.39163542232994e-01
4.78378378378377e+07	-2.85771132898920e-01,-1.45966969908110e-01	3.85505843009406e-01,-8.40025110884798e-01
4.79279279279278e+07	-2.85852645236795e-01,-1.45260301735239e-01	3.83730675114389e-01,-8.40884721235247e-01
4.80180180180179e+07	-2.85928584561946e-01,-1.44551710340854e-01	3.81952848289138e-01,-8.41742369958972e-01
4.81081081081080e+07	-2.85998929801105e-01,-1.43841216741184e-01	3.80172345731089e-01,-8.42598053550729e-01
4.81981981981981e+07	-2.86063659853884e-01,-1.43128842090920e-01	3.78389150537994e-01,-8.43451768323777e-01
4.82882882882881e+07	-2.86122753592907e-01,-1.42414607684716e-01	3.76603245708562e-01,-8.44303510408256e-01
4.83783783783782e+07	-2.86176189863950e-01,-1.41698534958678e-01	3.74814614143109e-01,-8.45153275749566e-01
4.84684684684683e+07	-2.86223947486009e-01,-1.40980645491972e-01	3.73023238644322e-01,-8.46001060106718e-01
4.85585585585584e+07	-2.86266005251531e-01,-1.40260961008280e-01	3.71229101917854e-01,-8.46846859050685e-01
4.86486486486485e+07	-2.86302341926492e-01,-1.39539503377456e-01	3.69432186573144e-01,-8.47690667962744e-01
4.87387387387386e+07	-2.86332936250657e-01,-1.38816294617021e-01	3.67632475124054e-01,-8.48532482032806e-01
4.88288288288287e+07	-2.86357766937701e-01,-1.38091356893827e-01	3.65829949989689e-01,-8.49372296257730e-01
4.89189189189188e+07	-2.86376812675484e-01,-1.37364712525603e-01	3.64024593495087e-01,-8.50210105439644e-01
4.90090090090089e+07	-2.86390052126221e-01,-1.36636383982621e-01	3.62216387872042e-01,-8.51045904184228e-01
4.90990990990989e+07	-2.86397463926788e-01,-1.35906393889306e-01	3.60405315259850e-01,-8.51879686899031e-01
4.91891891891890e+07	-2.86399026688912e-01,-1.35174765025893e-01	3.58591357706145e-01,-8.52711447791712e-01
4.92792792792791e+07	-2.86394718999517e-01,-1.34441520330084e-01	3.56774497167680e-01,-8.53541180868350e-01
4.93693693693692e+07	-2.86384519420983e-01,-1.33706682898738e-01	3.54954715511186e-01,-8.54368879931681e-01
4.94594594594593e+07	-2.86368406491475e-01,-1.32970275989535e-01	3.53131994514188e-01,-8.55194538579347e-01
4.95495495495494e+07	-2.86346358725259e-01,-1.32232323022721e-01	3.51306315865908e-01,-8.56018150202144e-01
4.96396396396395e+07	-2.86318354613092e-01,-1.31492847582782e-01	3.49477661168094e-01,-8.56839707982257e-01
4.97297297297296e+07	-2.86284372622512e-01,-1.30751873420245e-01	3.47646011935995e-01,-8.57659204891453e-01
4.98198198198197e+07	-2.86244391198353e-01,-1.30009424453320e-01	3.45811349599151e-01,-8.58476633689327e-01
4.99099099099097e+07	-2.86198388763029e-01,-1.29265524769770e-01	3.43973655502443e-01,-8.59291986921471e-01
4.99999999999998e+07	-2.86146343717013e-01,-1.28520198628646e-01	3.42132910906995e-01,-8.60105256917672e-01
5.00900900900899e+07	-2.86088234439338e-01,-1.27773470462024e-01	3.40289096991083e-01,-8.60916435790112e-01
5.01801801801800e+07	-2.86024039287963e-01,-1.27025364876899e-01	3.38442194851216e-01,-8.61725515431496e-01
5.02702702702701e+07	-2.85953736600324e-01,-1.26275906656956e-01	3.36592185503083e-01,-8.62532487513241e-01
5.03603603603602e+07	-2.85877304693871e-01,-1.25525120764366e-01	3.34739049882538e-01,-8.63337343483623e-01
5.04504504504503e+07	-2.85794721866520e-01,-1.24773032341722e-01	3.32882768846730e-01,-8.64140074565904e-01
5.05405405405404e+07	-2.85705966397275e-01,-1.24019666713813e-01	3.31023323175076e-01,-8.64940671756466e-01
5.06306306306304e+07	-2.85611016546770e-01,-1.23265049389536e-01	3.29160693570382e-01,-8.65739125822930e-01
5.07207207207205e+07	-2.85509850557875e-01,-1.22509206063787e-01	3.27294860659931e-01,-8.66535427302267e-01
5.08108108108106e+07	-2.85402446656339e-01,-1.21752162619316e-01	3.25425804996569e-01,-8.67329566498895e-01
5.09009009009007e+07	-2.85288783051360e-01,-1.20993945128728e-01	3.23553507059927e-01,-8.68121533482756e-01
5.09909909909908e+07	-2.85168837936364e-01,-1.20234579856297e-01	3.21677947257455e-01,-8.68911318087423e-01
5.10810810810809e+07	-2.85042589489586e-01,-1.19474093260013e-01	3.19799105925725e-01,-8.69698909908141e-01
5.11711711711710e+07	-2.84910015874854e-01,-1.18712511993459e-01	3.17916963331545e-01,-8.70484298299898e-01
5.12612612612611e+07	-2.84771095242299e-01,-1.17949862907818e-01	3.16031499673223e-01,-8.71267472375477e-01
5.13513513513512e+07	-2.84625805729132e-01,-1.17186173053834e-01	3.14142695081792e-01,-8.72048421003494e-01
5.14414414414412e+07	-2.84474125460413e-01,-1.16421469683820e-01	3.12250529622299e-01,-8.72827132806422e-01
5.15315315315313e+07	-2.84316032549872e-01,-1.15655780253665e-01	3.10354983295087e-01,-8.73603596158618e-01
5.16216216216214e+07	-2.84151505100784e-01,-1.14889132424819e-01	3.08456036037076e-01,-8.74377799184343e-01
5.17117117117115e+07	-2.83980521206773e-01,-1.14121554066370e-01	3.06553667723153e-01,-8.75149729755744e-01
5.18018018018016e+07	-2.83803058952742e-01,-1.13353073257071e-01	3.04647858167505e-01,-8.75919375490857e-01
5.18918918918917e+07	-2.83619096415787e-01,-1.12583718287398e-01	3.02738587125010e-01,-8.76686723751597e-01
