Freq.	S11(v1)	S21(v1)
7.25225225225223e+07	-4.34477079865848e-02,4.64584749233055e-04	-2.44206689934018e-01,-9.68720759250059e-01
7.25825825825823e+07	-4.21473091830413e-02,2.09087075090819e-04	-2.46292628855609e-01,-9.68250057004269e-01
7.26426426426424e+07	-4.08446730874036e-02,-5.27661895004528e-05	-2.48379903122587e-01,-9.67772566452324e-01
7.27027027027024e+07	-3.95398282511301e-02,-3.21003104926998e-04	-2.50468485202934e-01,-9.67288260650350e-01
7.27627627627625e+07	-3.82328035159510e-02,-5.95651642530393e-04	-2.52558347269957e-01,-9.66797112736472e-01
7.28228228228225e+07	-3.69236280145000e-02,-8.76739681742511e-04	-2.54649461201599e-01,-9.66299095933717e-01
7.28828828828826e+07	-3.56123311709187e-02,-1.16429500720638e-03	-2.56741798579799e-01,-9.65794183552952e-01
7.29429429429426e+07	-3.42989427014334e-02,-1.45834530586730e-03	-2.58835330689860e-01,-9.65282348995833e-01
7.30030030030027e+07	-3.29834926149106e-02,-1.75891816404394e-03	-2.60930028519853e-01,-9.64763565757783e-01
7.30630630630628e+07	-3.16660112133791e-02,-2.06604106448005e-03	-2.63025862760046e-01,-9.64237807430994e-01
7.31231231231228e+07	-3.03465290925273e-02,-2.37974138337105e-03	-2.65122803802358e-01,-9.63705047707446e-01
7.31831831831829e+07	-2.90250771421757e-02,-2.70004638736765e-03	-2.67220821739846e-01,-9.63165260381953e-01
7.32432432432429e+07	-2.77016865467172e-02,-3.02698323056239e-03	-2.69319886366218e-01,-9.62618419355233e-01
7.33033033033030e+07	-2.63763887855303e-02,-3.36057895144926e-03	-2.71419967175373e-01,-9.62064498636990e-01
7.33633633633630e+07	-2.50492156333609e-02,-3.70086046986839e-03	-2.73521033360974e-01,-9.61503472349030e-01
7.34234234234231e+07	-2.37201991606808e-02,-4.04785458392221e-03	-2.75623053816046e-01,-9.60935314728393e-01
7.34834834834831e+07	-2.23893717340068e-02,-4.40158796687851e-03	-2.77725997132614e-01,-9.60360000130502e-01
7.35435435435432e+07	-2.10567660161981e-02,-4.76208716404691e-03	-2.79829831601358e-01,-9.59777503032343e-01
7.36036036036032e+07	-1.97224149667174e-02,-5.12937858963791e-03	-2.81934525211312e-01,-9.59187798035657e-01
7.36636636636633e+07	-1.83863518418637e-02,-5.50348852360216e-03	-2.84040045649585e-01,-9.58590859870157e-01
7.37237237237234e+07	-1.70486101949681e-02,-5.88444310844782e-03	-2.86146360301122e-01,-9.57986663396764e-01
7.37837837837834e+07	-1.57092238765656e-02,-6.27226834604089e-03	-2.88253436248492e-01,-9.57375183610863e-01
7.38438438438435e+07	-1.43682270345274e-02,-6.66699009438398e-03	-2.90361240271710e-01,-9.56756395645584e-01
7.39039039039035e+07	-1.30256541141628e-02,-7.06863406437752e-03	-2.92469738848096e-01,-9.56130274775089e-01
7.39639639639636e+07	-1.16815398582851e-02,-7.47722581656141e-03	-2.94578898152164e-01,-9.55496796417896e-01
7.40240240240236e+07	-1.03359193072485e-02,-7.89279075784044e-03	-2.96688684055547e-01,-9.54855936140208e-01
7.40840840840837e+07	-8.98882779894594e-03,-8.31535413818718e-03	-2.98799062126955e-01,-9.54207669659265e-01
7.41441441441437e+07	-7.64030096877200e-03,-8.74494104733159e-03	-3.00909997632175e-01,-9.53551972846721e-01
7.42042042042038e+07	-6.29037474955463e-03,-9.18157641143003e-03	-3.03021455534094e-01,-9.52888821732027e-01
7.42642642642638e+07	-4.93908537144505e-03,-9.62528498972071e-03	-3.05133400492774e-01,-9.52218192505840e-01
7.43243243243239e+07	-3.58646936177842e-03,-1.00760913711564e-02	-3.07245796865549e-01,-9.51540061523448e-01
7.43843843843839e+07	-2.23256354489010e-03,-1.05340199710275e-02	-3.09358608707171e-01,-9.50854405308209e-01
7.44444444444440e+07	-8.77405041902590e-04,-1.09990950275645e-02	-3.11471799769983e-01,-9.50161200555012e-01
7.45045045045041e+07	4.78968729531681e-04,-1.14713405985255e-02	-3.13585333504137e-01,-9.49460424133748e-01
7.45645645645641e+07	1.83652005552215e-03,-1.19507805577698e-02	-3.15699173057854e-01,-9.48752053092802e-01
7.46246246246242e+07	3.19521092626940e-03,-1.24374385918152e-02	-3.17813281277707e-01,-9.48036064662559e-01
7.46846846846842e+07	4.55500303643630e-03,-1.29313381963808e-02	-3.19927620708962e-01,-9.47312436258921e-01
7.47447447447443e+07	5.91585778555670e-03,-1.34325026729160e-02	-3.22042153595946e-01,-9.46581145486847e-01
7.48048048048043e+07	7.27773627848194e-03,-1.39409551251160e-02	-3.24156841882461e-01,-9.45842170143900e-01
7.48648648648644e+07	8.64059932587313e-03,-1.44567184554230e-02	-3.26271647212238e-01,-9.45095488223811e-01
7.49249249249244e+07	1.00044074447265e-02,-1.49798153615146e-02	-3.28386530929427e-01,-9.44341077920057e-01
7.49849849849845e+07	1.13691208589444e-02,-1.55102683327817e-02	-3.30501454079138e-01,-9.43578917629450e-01
7.50450450450445e+07	1.27346994999478e-02,-1.60480996467910e-02	-3.32616377408013e-01,-9.42808985955741e-01
7.51051051051046e+07	1.41011030073275e-02,-1.65933313657382e-02	-3.34731261364847e-01,-9.42031261713234e-01
7.51651651651646e+07	1.54682907295405e-02,-1.71459853328894e-02	-3.36846066101253e-01,-9.41245723930412e-01
7.52252252252247e+07	1.68362217246454e-02,-1.77060831690120e-02	-3.38960751472363e-01,-9.40452351853575e-01
7.52852852852848e+07	1.82048547610854e-02,-1.82736462687952e-02	-3.41075277037575e-01,-9.39651124950491e-01
7.53453453453448e+07	1.95741483185097e-02,-1.88486957972606e-02	-3.43189602061353e-01,-9.38842022914052e-01
7.54054054054049e+07	2.09440605886417e-02,-1.94312526861645e-02	-3.45303685514054e-01,-9.38025025665939e-01
7.54654654654649e+07	2.23145494761896e-02,-2.00213376303900e-02	-3.47417486072815e-01,-9.37200113360309e-01
7.55255255255250e+07	2.36855725998040e-02,-2.06189710843330e-02	-3.49530962122477e-01,-9.36367266387471e-01
7.55855855855850e+07	2.50570872930744e-02,-2.12241732582769e-02	-3.51644071756556e-01,-9.35526465377589e-01
7.56456456456451e+07	2.64290506055789e-02,-2.18369641147659e-02	-3.53756772778263e-01,-9.34677691204379e-01
7.57057057057051e+07	2.78014193039722e-02,-2.24573633649656e-02	-3.55869022701560e-01,-9.33820924988817e-01
7.57657657657652e+07	2.91741498731244e-02,-2.30853904650219e-02	-3.57980778752280e-01,-9.32956148102859e-01
7.58258258258252e+07	3.05471985173011e-02,-2.37210646124112e-02	-3.60091997869271e-01,-9.32083342173163e-01
7.58858858858853e+07	3.19205211613967e-02,-2.43644047422902e-02	-3.62202636705611e-01,-9.31202489084809e-01
7.59459459459454e+07	3.32940734522078e-02,-2.50154295238358e-02	-3.64312651629852e-01,-9.30313570985038e-01
7.60060060060054e+07	3.46678107597556e-02,-2.56741573565844e-02	-3.66421998727319e-01,-9.29416570286987e-01
7.60660660660655e+07	3.60416881786612e-02,-2.63406063667698e-02	-3.68530633801460e-01,-9.28511469673423e-01
