Freq.	S11(v1)	S21(v1)
1.17117117213213e+07	-2.80000319849660e-02,-1.36575892091876e-01	9.34482020676077e-01,-2.84156568114686e-01
1.20120120216116e+07	-3.00029029461776e-02,-1.39509757948699e-01	9.31865199993265e-01,-2.90961244907940e-01
1.23123123219019e+07	-3.20439545501868e-02,-1.42403174668167e-01	9.29192719882123e-01,-2.97732027900167e-01
1.26126126221922e+07	-3.41223349149854e-02,-1.45255446827940e-01	9.26465282964818e-01,-3.04468381751260e-01
1.29129129224825e+07	-3.62371809571915e-02,-1.48065898967679e-01	9.23683598854005e-01,-3.11169790761473e-01
1.32132132227728e+07	-3.83876189592985e-02,-1.50833875705575e-01	9.20848383543450e-01,-3.17835758974074e-01
1.35135135230631e+07	-4.05727651351250e-02,-1.53558741836072e-01	9.17960358799127e-01,-3.24465810258620e-01
1.38138138233534e+07	-4.27917261924620e-02,-1.56239882408332e-01	9.15020251551646e-01,-3.31059488374291e-01
1.41141141236436e+07	-4.50435998922838e-02,-1.58876702785471e-01	9.12028793290580e-01,-3.37616357013331e-01
1.44144144239339e+07	-4.73274756037798e-02,-1.61468628685819e-01	9.08986719461573e-01,-3.44135999825752e-01
1.47147147242242e+07	-4.96424348546831e-02,-1.64015106205694e-01	9.05894768866583e-01,-3.50618020424816e-01
1.50150150245145e+07	-5.19875518760036e-02,-1.66515601824287e-01	9.02753683068149e-01,-3.57062042373799e-01
1.53153153248048e+07	-5.43618941407178e-02,-1.68969602391333e-01	8.99564205798184e-01,-3.63467709154683e-01
1.56156156250951e+07	-5.67645228958316e-02,-1.71376615097406e-01	8.96327082371733e-01,-3.69834684118613e-01
1.59159159253854e+07	-5.91944936869385e-02,-1.73736167427999e-01	8.93043059106669e-01,-3.76162650419130e-01
1.62162162256757e+07	-6.16508568752319e-02,-1.76047807101145e-01	8.89712882749256e-01,-3.82451310928031e-01
1.65165165259660e+07	-6.41326581457821e-02,-1.78311101989428e-01	8.86337299906758e-01,-3.88700388134503e-01
1.68168168262563e+07	-6.66389390071953e-02,-1.80525640026747e-01	8.82917056486976e-01,-3.94909624027985e-01
1.71171171265465e+07	-6.91687372817461e-02,-1.82691029100535e-01	8.79452897145615e-01,-4.01078779965296e-01
1.74174174268368e+07	-7.17210875856675e-02,-1.84806896929599e-01	8.75945564741700e-01,-4.07207636522199e-01
1.77177177271271e+07	-7.42950217992183e-02,-1.86872890928201e-01	8.72395799801416e-01,-4.13295993329973e-01
1.80180180274174e+07	-7.68895695259582e-02,-1.88888678057289e-01	8.68804339991006e-01,-4.19343668897769e-01
1.83183183277077e+07	-7.95037585411065e-02,-1.90853944662871e-01	8.65171919598691e-01,-4.25350500420807e-01
