Freq.	-V(reflectedwaveover20)/V(minusincidentwaveover20)
7.07980798079801e+07	6.63986829129336e-01,-1.42791042520565e-01
7.08040804080401e+07	6.63984204974584e-01,-1.42803336844636e-01
7.08100810081001e+07	6.63981580600579e-01,-1.42815631089053e-01
7.08160816081601e+07	6.63978956007318e-01,-1.42827925253819e-01
7.08220822082201e+07	6.63976331194804e-01,-1.42840219338938e-01
7.08280828082801e+07	6.63973706163039e-01,-1.42852513344417e-01
7.08340834083401e+07	6.63971080912022e-01,-1.42864807270257e-01
7.08400840084001e+07	6.63968455441755e-01,-1.42877101116464e-01
7.08460846084601e+07	6.63965829752239e-01,-1.42889394883040e-01
7.08520852085201e+07	6.63963203843474e-01,-1.42901688569992e-01
7.08580858085801e+07	6.63960577715462e-01,-1.42913982177324e-01
7.08640864086401e+07	6.63957951368202e-01,-1.42926275705037e-01
7.08700870087001e+07	6.63955324801697e-01,-1.42938569153139e-01
7.08760876087601e+07	6.63952698015948e-01,-1.42950862521631e-01
7.08820882088201e+07	6.63950071010955e-01,-1.42963155810520e-01
7.08880888088802e+07	6.63947443786718e-01,-1.42975449019809e-01
7.08940894089402e+07	6.63944816343241e-01,-1.42987742149501e-01
7.09000900090002e+07	6.63942188680520e-01,-1.43000035199601e-01
7.09060906090602e+07	6.63939560798562e-01,-1.43012328170115e-01
7.09120912091202e+07	6.63936932697362e-01,-1.43024621061044e-01
7.09180918091802e+07	6.63934304376926e-01,-1.43036913872395e-01
7.09240924092402e+07	6.63931675837251e-01,-1.43049206604170e-01
7.09300930093002e+07	6.63929047078341e-01,-1.43061499256374e-01
7.09360936093602e+07	6.63926418100194e-01,-1.43073791829011e-01
7.09420942094202e+07	6.63923788902813e-01,-1.43086084322085e-01
7.09480948094802e+07	6.63921159486198e-01,-1.43098376735601e-01
7.09540954095402e+07	6.63918529850350e-01,-1.43110669069562e-01
7.09600960096002e+07	6.63915899995271e-01,-1.43122961323974e-01
7.09660966096602e+07	6.63913269920961e-01,-1.43135253498839e-01
7.09720972097202e+07	6.63910639627420e-01,-1.43147545594162e-01
7.09780978097802e+07	6.63908009114651e-01,-1.43159837609946e-01
7.09840984098402e+07	6.63905378382654e-01,-1.43172129546198e-01
7.09900990099002e+07	6.63902747431429e-01,-1.43184421402920e-01
7.09960996099602e+07	6.63900116260978e-01,-1.43196713180116e-01
7.10021002100202e+07	6.63897484871302e-01,-1.43209004877791e-01
7.10081008100802e+07	6.63894853262400e-01,-1.43221296495948e-01
7.10141014101402e+07	6.63892221434276e-01,-1.43233588034593e-01
7.10201020102002e+07	6.63889589386930e-01,-1.43245879493728e-01
7.10261026102602e+07	6.63886957120361e-01,-1.43258170873358e-01
7.10321032103202e+07	6.63884324634571e-01,-1.43270462173488e-01
7.10381038103802e+07	6.63881691929562e-01,-1.43282753394121e-01
7.10441044104402e+07	6.63879059005334e-01,-1.43295044535260e-01
7.10501050105002e+07	6.63876425861887e-01,-1.43307335596912e-01
7.10561056105602e+07	6.63873792499224e-01,-1.43319626579079e-01
7.10621062106202e+07	6.63871158917345e-01,-1.43331917481766e-01
