Record Length,Analog:140
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH4:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+2.000000E-01 CH4:+2.000000E-01,,,
Vertical Offset,CH1:-5.840000E-01 CH2:-5.840000E-01 CH4:-5.840000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,0.0200000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH4
Second,Volt,Volt,Volt
-2.320000E-08,-8.000016E-03,-1.600003E-02,-8.000016E-03
-2.120000E-08,-8.000016E-03,-1.600003E-02,-8.000016E-03
-1.920000E-08,-8.000016E-03,-8.000016E-03,-8.000016E-03
-1.720000E-08,-1.600003E-02,-8.000016E-03,-8.000016E-03
-1.520000E-08,-1.600003E-02,-8.000016E-03,-8.000016E-03
-1.320000E-08,-8.000016E-03,-1.600003E-02,-8.000016E-03
-1.120000E-08,-5.960464E-08,-8.000016E-03,-8.000016E-03
-9.200000E-09,-8.000016E-03,-8.000016E-03,-8.000016E-03
-7.200000E-09,-8.000016E-03,-1.600003E-02,-1.600003E-02
-5.200000E-09,-8.000016E-03,-8.000016E-03,-1.600003E-02
-3.200000E-09,-8.000016E-03,-8.000016E-03,-8.000016E-03
-1.200000E-09,+5.599999E-02,-8.000016E-03,-8.000016E-03
+8.000000E-10,+2.160000E-01,-8.000016E-03,-1.600003E-02
+2.800000E-09,+4.000000E-01,-8.000016E-03,-1.600003E-02
+4.800000E-09,+5.040000E-01,-1.600003E-02,-1.600003E-02
+6.800000E-09,+5.200000E-01,-1.600003E-02,-8.000016E-03
+8.800000E-09,+5.040000E-01,-1.600003E-02,-8.000016E-03
+1.080000E-08,+5.040000E-01,-1.600003E-02,-8.000016E-03
+1.280000E-08,+5.040000E-01,-8.000016E-03,-8.000016E-03
+1.480000E-08,+5.040000E-01,-2.400005E-02,-8.000016E-03
+1.680000E-08,+5.120000E-01,-5.960464E-08,-1.600003E-02
+1.880000E-08,+5.120000E-01,+1.040000E-01,-1.600003E-02
+2.080000E-08,+5.120000E-01,+2.640000E-01,-8.000016E-03
+2.280000E-08,+5.120000E-01,+4.000000E-01,-8.000016E-03
+2.480000E-08,+5.120000E-01,+4.480000E-01,-8.000016E-03
+2.680000E-08,+5.120000E-01,+4.480000E-01,-1.600003E-02
+2.880000E-08,+5.120000E-01,+4.480000E-01,-1.600003E-02
+3.080000E-08,+5.200000E-01,+4.480000E-01,-8.000016E-03
+3.280000E-08,+5.200000E-01,+4.480000E-01,-8.000016E-03
+3.480000E-08,+5.200000E-01,+4.480000E-01,-8.000016E-03
+3.680000E-08,+4.880000E-01,+4.560000E-01,-8.000016E-03
+3.880000E-08,+4.560000E-01,+4.720000E-01,-1.600003E-02
+4.080000E-08,+4.400000E-01,+5.040000E-01,-1.600003E-02
+4.280000E-08,+4.560000E-01,+5.440000E-01,-5.960464E-08
+4.480000E-08,+4.720000E-01,+5.600000E-01,+1.040000E-01
+4.680000E-08,+4.640000E-01,+5.680000E-01,+3.200000E-01
+4.880000E-08,+4.560000E-01,+5.680000E-01,+5.760000E-01
+5.080000E-08,+4.560000E-01,+5.680000E-01,+7.600000E-01
+5.280000E-08,+4.640000E-01,+5.680000E-01,+8.480000E-01
+5.480000E-08,+4.640000E-01,+5.680000E-01,+8.800000E-01
+5.680000E-08,+4.720000E-01,+5.760000E-01,+8.960000E-01
+5.880000E-08,+4.960000E-01,+5.760000E-01,+9.120000E-01
+6.080000E-08,+5.360000E-01,+5.680000E-01,+9.280000E-01
+6.280000E-08,+5.520000E-01,+5.680000E-01,+9.520000E-01
+6.480000E-08,+5.680000E-01,+5.600000E-01,+9.680000E-01
+6.680000E-08,+5.680000E-01,+5.600000E-01,+9.920000E-01
+6.880000E-08,+5.760000E-01,+5.600000E-01,+1.024000E+00
+7.080000E-08,+5.680000E-01,+5.680000E-01,+1.040000E+00
+7.280000E-08,+5.680000E-01,+5.920000E-01,+1.056000E+00
+7.480000E-08,+5.680000E-01,+6.560000E-01,+1.072000E+00
+7.680000E-08,+5.680000E-01,+7.280000E-01,+1.080000E+00
+7.880000E-08,+5.680000E-01,+7.680000E-01,+1.072000E+00
+8.080000E-08,+5.680000E-01,+7.920000E-01,+1.040000E+00
+8.280000E-08,+5.680000E-01,+8.080000E-01,+1.016000E+00
+8.480000E-08,+5.680000E-01,+8.240000E-01,+9.840000E-01
+8.680000E-08,+5.680000E-01,+8.320000E-01,+9.520000E-01
+8.880000E-08,+5.680000E-01,+8.400000E-01,+9.360000E-01
+9.080000E-08,+5.760000E-01,+8.480000E-01,+9.360000E-01
+9.280000E-08,+6.160000E-01,+8.560000E-01,+9.360000E-01
+9.480000E-08,+6.800000E-01,+8.640000E-01,+9.200000E-01
+9.680000E-08,+7.440000E-01,+8.640000E-01,+9.120000E-01
+9.880000E-08,+7.760000E-01,+8.720000E-01,+8.960000E-01
+1.008000E-07,+7.920000E-01,+8.720000E-01,+8.640000E-01
+1.028000E-07,+8.000000E-01,+8.800000E-01,+8.240000E-01
+1.048000E-07,+8.160000E-01,+8.880000E-01,+7.920000E-01
+1.068000E-07,+8.320000E-01,+8.880000E-01,+7.760000E-01
+1.088000E-07,+8.320000E-01,+8.800000E-01,+7.760000E-01
+1.108000E-07,+8.320000E-01,+8.720000E-01,+7.760000E-01
+1.128000E-07,+8.480000E-01,+8.560000E-01,+7.680000E-01
+1.148000E-07,+8.480000E-01,+8.480000E-01,+7.600000E-01
+1.168000E-07,+8.560000E-01,+8.400000E-01,+7.680000E-01
+1.188000E-07,+8.560000E-01,+8.400000E-01,+7.680000E-01
+1.208000E-07,+8.640000E-01,+8.400000E-01,+7.680000E-01
+1.228000E-07,+8.720000E-01,+8.480000E-01,+7.600000E-01
+1.248000E-07,+8.720000E-01,+8.480000E-01,+7.600000E-01
+1.268000E-07,+8.720000E-01,+8.320000E-01,+7.600000E-01
+1.288000E-07,+8.720000E-01,+8.240000E-01,+7.680000E-01
+1.308000E-07,+8.640000E-01,+8.160000E-01,+7.680000E-01
+1.328000E-07,+8.480000E-01,+8.080000E-01,+7.760000E-01
+1.348000E-07,+8.480000E-01,+8.080000E-01,+7.760000E-01
+1.368000E-07,+8.480000E-01,+8.080000E-01,+7.760000E-01
+1.388000E-07,+8.480000E-01,+8.000000E-01,+7.760000E-01
+1.408000E-07,+8.400000E-01,+8.000000E-01,+7.840000E-01
+1.428000E-07,+8.400000E-01,+8.000000E-01,+7.840000E-01
+1.448000E-07,+8.320000E-01,+7.920000E-01,+7.840000E-01
+1.468000E-07,+8.240000E-01,+8.000000E-01,+7.920000E-01
+1.488000E-07,+8.160000E-01,+8.080000E-01,+8.000000E-01
+1.508000E-07,+8.080000E-01,+8.080000E-01,+8.000000E-01
+1.528000E-07,+8.080000E-01,+8.080000E-01,+8.000000E-01
+1.548000E-07,+8.080000E-01,+8.080000E-01,+8.080000E-01
+1.568000E-07,+8.000000E-01,+8.080000E-01,+8.160000E-01
+1.588000E-07,+7.920000E-01,+8.080000E-01,+8.160000E-01
+1.608000E-07,+7.920000E-01,+8.000000E-01,+8.240000E-01
+1.628000E-07,+7.920000E-01,+8.000000E-01,+8.240000E-01
+1.648000E-07,+7.920000E-01,+8.080000E-01,+8.240000E-01
+1.668000E-07,+7.920000E-01,+8.080000E-01,+8.160000E-01
+1.688000E-07,+7.920000E-01,+8.080000E-01,+8.160000E-01
+1.708000E-07,+7.920000E-01,+8.080000E-01,+8.240000E-01
+1.728000E-07,+7.920000E-01,+8.000000E-01,+8.320000E-01
+1.748000E-07,+7.920000E-01,+8.080000E-01,+8.240000E-01
+1.768000E-07,+7.920000E-01,+8.080000E-01,+8.240000E-01
+1.788000E-07,+7.920000E-01,+8.080000E-01,+8.240000E-01
+1.808000E-07,+7.920000E-01,+8.080000E-01,+8.320000E-01
+1.828000E-07,+8.000000E-01,+8.080000E-01,+8.320000E-01
+1.848000E-07,+8.000000E-01,+8.160000E-01,+8.240000E-01
+1.868000E-07,+8.000000E-01,+8.240000E-01,+8.240000E-01
+1.888000E-07,+8.000000E-01,+8.160000E-01,+8.160000E-01
+1.908000E-07,+7.920000E-01,+8.160000E-01,+8.160000E-01
+1.928000E-07,+8.000000E-01,+8.160000E-01,+8.240000E-01
+1.948000E-07,+8.000000E-01,+8.080000E-01,+8.240000E-01
+1.968000E-07,+8.000000E-01,+8.080000E-01,+8.160000E-01
+1.988000E-07,+8.080000E-01,+8.080000E-01,+8.160000E-01
+2.008000E-07,+8.080000E-01,+8.160000E-01,+8.160000E-01
+2.028000E-07,+8.080000E-01,+8.160000E-01,+8.160000E-01
+2.048000E-07,+8.080000E-01,+8.160000E-01,+8.160000E-01
+2.068000E-07,+8.160000E-01,+8.160000E-01,+8.160000E-01
+2.088000E-07,+8.160000E-01,+8.160000E-01,+8.160000E-01
+2.108000E-07,+8.160000E-01,+8.240000E-01,+8.160000E-01
+2.128000E-07,+8.160000E-01,+8.240000E-01,+8.160000E-01
+2.148000E-07,+8.080000E-01,+8.160000E-01,+8.080000E-01
+2.168000E-07,+8.080000E-01,+8.080000E-01,+8.080000E-01
+2.188000E-07,+8.080000E-01,+8.160000E-01,+8.080000E-01
+2.208000E-07,+8.080000E-01,+8.160000E-01,+8.080000E-01
+2.228000E-07,+8.080000E-01,+8.160000E-01,+8.080000E-01
+2.248000E-07,+8.080000E-01,+8.160000E-01,+8.080000E-01
+2.268000E-07,+8.080000E-01,+8.160000E-01,+8.080000E-01
+2.288000E-07,+8.080000E-01,+8.160000E-01,+8.080000E-01
+2.308000E-07,+8.160000E-01,+8.080000E-01,+8.080000E-01
+2.328000E-07,+8.160000E-01,+8.160000E-01,+8.080000E-01
+2.348000E-07,+8.160000E-01,+8.160000E-01,+8.080000E-01
+2.368000E-07,+8.080000E-01,+8.160000E-01,+8.000000E-01
+2.388000E-07,+8.160000E-01,+8.080000E-01,+8.080000E-01
+2.408000E-07,+8.160000E-01,+8.080000E-01,+8.080000E-01
+2.428000E-07,+8.080000E-01,+8.080000E-01,+8.080000E-01
+2.448000E-07,+8.000000E-01,+8.080000E-01,+8.080000E-01
+2.468000E-07,+8.000000E-01,+8.080000E-01,+8.080000E-01
+2.488000E-07,+8.080000E-01,+8.080000E-01,+8.080000E-01
+2.508000E-07,+8.080000E-01,+8.080000E-01,+8.080000E-01
+2.528000E-07,+8.080000E-01,+8.080000E-01,+8.160000E-01
+2.548000E-07,+8.080000E-01,+8.080000E-01,+8.160000E-01
