Record Length,Analog:140
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH3:V,,,
Vertical Scale,CH1:+1.000000E-01 CH2:+2.000000E-01 CH3:+2.000000E-01,,,
Vertical Offset,CH1:-3.220000E-01 CH2:-6.400000E-01 CH3:-6.400000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,0.0200000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
-5.760000E-08,+1.999974E-03,-5.960464E-08,-5.960464E-08
-5.560000E-08,-2.000004E-03,-8.000016E-03,-5.960464E-08
-5.360000E-08,-2.000004E-03,-8.000016E-03,-5.960464E-08
-5.160000E-08,-2.000004E-03,-8.000016E-03,-8.000016E-03
-4.960000E-08,-2.000004E-03,-8.000016E-03,-8.000016E-03
-4.760000E-08,-2.000004E-03,-8.000016E-03,-5.960464E-08
-4.560000E-08,-2.000004E-03,-8.000016E-03,+7.999957E-03
-4.360000E-08,-2.000004E-03,-5.960464E-08,-5.960464E-08
-4.160000E-08,-2.000004E-03,-5.960464E-08,-8.000016E-03
-3.960000E-08,-2.000004E-03,-5.960464E-08,-5.960464E-08
-3.760000E-08,-6.000012E-03,+7.999957E-03,-5.960464E-08
-3.560000E-08,-6.000012E-03,+7.999957E-03,-8.000016E-03
-3.360000E-08,-2.000004E-03,-5.960464E-08,-5.960464E-08
-3.160000E-08,-2.000004E-03,-5.960464E-08,-5.960464E-08
-2.960000E-08,-2.000004E-03,-5.960464E-08,-5.960464E-08
-2.760000E-08,-2.000004E-03,-5.960464E-08,-5.960464E-08
-2.560000E-08,-2.000004E-03,-8.000016E-03,-5.960464E-08
-2.360000E-08,+1.999974E-03,-8.000016E-03,-5.960464E-08
-2.160000E-08,+1.999974E-03,-8.000016E-03,-8.000016E-03
-1.960000E-08,-2.000004E-03,-5.960464E-08,-8.000016E-03
-1.760000E-08,-2.000004E-03,+7.999957E-03,-5.960464E-08
-1.560000E-08,+1.999974E-03,-5.960464E-08,-5.960464E-08
-1.360000E-08,+1.999974E-03,-8.000016E-03,-5.960464E-08
-1.160000E-08,+1.999974E-03,-8.000016E-03,-5.960464E-08
-9.600000E-09,+1.999974E-03,-5.960464E-08,-5.960464E-08
-7.600000E-09,+1.999974E-03,-5.960464E-08,+7.999957E-03
-5.600000E-09,-2.000004E-03,-8.000016E-03,+7.999957E-03
-3.600000E-09,-6.000012E-03,-8.000016E-03,-5.960464E-08
-1.600000E-09,+2.999997E-02,-8.000016E-03,-5.960464E-08
+4.000000E-10,+1.540000E-01,-5.960464E-08,-5.960464E-08
+2.400000E-09,+3.420000E-01,-5.960464E-08,+7.999957E-03
+4.400000E-09,+4.900000E-01,-5.960464E-08,+7.999957E-03
+6.400000E-09,+5.380000E-01,-5.960464E-08,+7.999957E-03
+8.400000E-09,+5.260000E-01,-5.960464E-08,-5.960464E-08
+1.040000E-08,+5.140000E-01,-5.960464E-08,-5.960464E-08
+1.240000E-08,+5.140000E-01,+7.999957E-03,-8.000016E-03
+1.440000E-08,+5.180000E-01,-5.960464E-08,-8.000016E-03
+1.640000E-08,+5.180000E-01,+7.999957E-03,-5.960464E-08
+1.840000E-08,+5.140000E-01,+9.599996E-02,-5.960464E-08
+2.040000E-08,+5.180000E-01,+2.720000E-01,-5.960464E-08
+2.240000E-08,+5.180000E-01,+4.400000E-01,-5.960464E-08
+2.440000E-08,+5.180000E-01,+5.280000E-01,-5.960464E-08
+2.640000E-08,+5.180000E-01,+5.280000E-01,-5.960464E-08
+2.840000E-08,+5.180000E-01,+5.120000E-01,-5.960464E-08
+3.040000E-08,+5.180000E-01,+5.120000E-01,-5.960464E-08
+3.240000E-08,+5.220000E-01,+5.200000E-01,-5.960464E-08
+3.440000E-08,+5.180000E-01,+5.280000E-01,-5.960464E-08
+3.640000E-08,+5.140000E-01,+5.200000E-01,-5.960464E-08
+3.840000E-08,+5.020000E-01,+5.200000E-01,+7.999957E-03
+4.040000E-08,+4.980000E-01,+5.200000E-01,+1.599997E-02
+4.240000E-08,+5.100000E-01,+5.200000E-01,-5.960464E-08
+4.440000E-08,+5.220000E-01,+5.200000E-01,-8.000016E-03
+4.640000E-08,+5.260000E-01,+5.200000E-01,+2.399993E-02
+4.840000E-08,+5.260000E-01,+5.280000E-01,+8.799994E-02
+5.040000E-08,+5.260000E-01,+5.200000E-01,+1.280000E-01
+5.240000E-08,+5.300000E-01,+5.200000E-01,+1.040000E-01
+5.440000E-08,+5.260000E-01,+5.200000E-01,+3.999996E-02
+5.640000E-08,+5.260000E-01,+5.200000E-01,-5.960464E-08
+5.840000E-08,+5.300000E-01,+5.120000E-01,-8.000016E-03
+6.040000E-08,+5.300000E-01,+5.120000E-01,-5.960464E-08
+6.240000E-08,+5.300000E-01,+5.120000E-01,+7.999957E-03
+6.440000E-08,+5.300000E-01,+5.120000E-01,+7.999957E-03
+6.640000E-08,+5.300000E-01,+5.200000E-01,-5.960464E-08
+6.840000E-08,+5.340000E-01,+5.200000E-01,-5.960464E-08
+7.040000E-08,+5.300000E-01,+5.200000E-01,-5.960464E-08
+7.240000E-08,+5.260000E-01,+5.200000E-01,+7.999957E-03
+7.440000E-08,+5.220000E-01,+5.120000E-01,-5.960464E-08
+7.640000E-08,+5.180000E-01,+5.039999E-01,-8.000016E-03
+7.840000E-08,+5.180000E-01,+4.560000E-01,-8.000016E-03
+8.040000E-08,+5.180000E-01,+3.440000E-01,-5.960464E-08
+8.240000E-08,+5.180000E-01,+2.080000E-01,-5.960464E-08
+8.440000E-08,+5.180000E-01,+1.040000E-01,+7.999957E-03
+8.640000E-08,+5.180000E-01,+6.399995E-02,+7.999957E-03
+8.840000E-08,+5.220000E-01,+5.599993E-02,-5.960464E-08
+9.040000E-08,+5.220000E-01,+5.599993E-02,-5.960464E-08
+9.240000E-08,+5.260000E-01,+4.799998E-02,+7.999957E-03
+9.440000E-08,+5.220000E-01,+3.999996E-02,+7.999957E-03
+9.640000E-08,+4.980000E-01,+3.999996E-02,+7.999957E-03
+9.840000E-08,+4.260000E-01,+3.999996E-02,+7.999957E-03
+1.004000E-07,+3.060000E-01,+3.199995E-02,-5.960464E-08
+1.024000E-07,+1.860000E-01,+2.399993E-02,+7.999957E-03
+1.044000E-07,+1.180000E-01,+2.399993E-02,+7.999957E-03
+1.064000E-07,+9.399998E-02,+2.399993E-02,-5.960464E-08
+1.084000E-07,+8.599998E-02,+3.199995E-02,-5.960464E-08
+1.104000E-07,+7.799998E-02,+3.199995E-02,+1.599997E-02
+1.124000E-07,+6.999999E-02,+3.199995E-02,+7.999957E-03
+1.144000E-07,+5.800000E-02,+3.199995E-02,-8.000016E-03
+1.164000E-07,+5.399999E-02,+3.999996E-02,-8.000016E-03
+1.184000E-07,+4.999998E-02,+5.599993E-02,-5.960464E-08
+1.204000E-07,+4.999998E-02,+6.399995E-02,+7.999957E-03
+1.224000E-07,+4.999998E-02,+5.599993E-02,+7.999957E-03
+1.244000E-07,+4.599997E-02,+4.799998E-02,-5.960464E-08
+1.264000E-07,+4.999998E-02,+4.799998E-02,-5.960464E-08
+1.284000E-07,+4.999998E-02,+3.999996E-02,+7.999957E-03
+1.304000E-07,+4.999998E-02,+3.999996E-02,-5.960464E-08
+1.324000E-07,+4.999998E-02,+3.999996E-02,-5.960464E-08
+1.344000E-07,+4.999998E-02,+3.199995E-02,-5.960464E-08
+1.364000E-07,+4.599997E-02,+3.199995E-02,-5.960464E-08
+1.384000E-07,+4.599997E-02,+2.399993E-02,-5.960464E-08
+1.404000E-07,+4.999998E-02,+1.599997E-02,-5.960464E-08
+1.424000E-07,+5.399999E-02,+7.999957E-03,+7.999957E-03
+1.444000E-07,+5.399999E-02,+7.999957E-03,+1.599997E-02
+1.464000E-07,+4.999998E-02,+1.599997E-02,+1.599997E-02
+1.484000E-07,+4.999998E-02,+1.599997E-02,+7.999957E-03
+1.504000E-07,+4.999998E-02,+1.599997E-02,-5.960464E-08
+1.524000E-07,+4.999998E-02,+1.599997E-02,-5.960464E-08
+1.544000E-07,+4.999998E-02,+1.599997E-02,-5.960464E-08
+1.564000E-07,+4.200000E-02,+2.399993E-02,-5.960464E-08
+1.584000E-07,+3.399998E-02,+2.399993E-02,+7.999957E-03
+1.604000E-07,+2.999997E-02,+1.599997E-02,+7.999957E-03
+1.624000E-07,+2.199998E-02,+1.599997E-02,-5.960464E-08
+1.644000E-07,+2.599999E-02,+1.599997E-02,-8.000016E-03
+1.664000E-07,+2.999997E-02,+1.599997E-02,-5.960464E-08
+1.684000E-07,+3.399998E-02,+2.399993E-02,+7.999957E-03
+1.704000E-07,+3.399998E-02,+2.399993E-02,-5.960464E-08
+1.724000E-07,+2.999997E-02,+2.399993E-02,-5.960464E-08
+1.744000E-07,+3.399998E-02,+1.599997E-02,-5.960464E-08
+1.764000E-07,+3.799999E-02,+1.599997E-02,-5.960464E-08
+1.784000E-07,+3.399998E-02,+7.999957E-03,-5.960464E-08
+1.804000E-07,+3.399998E-02,-5.960464E-08,-5.960464E-08
+1.824000E-07,+3.399998E-02,+7.999957E-03,-5.960464E-08
+1.844000E-07,+3.799999E-02,+1.599997E-02,-5.960464E-08
+1.864000E-07,+3.799999E-02,+1.599997E-02,-5.960464E-08
+1.884000E-07,+3.399998E-02,+1.599997E-02,-5.960464E-08
+1.904000E-07,+3.799999E-02,+1.599997E-02,-5.960464E-08
+1.924000E-07,+3.799999E-02,+1.599997E-02,+7.999957E-03
+1.944000E-07,+3.399998E-02,+2.399993E-02,-5.960464E-08
+1.964000E-07,+2.199998E-02,+2.399993E-02,+7.999957E-03
+1.984000E-07,+1.799998E-02,+1.599997E-02,+7.999957E-03
+2.004000E-07,+2.199998E-02,+1.599997E-02,+7.999957E-03
+2.024000E-07,+2.199998E-02,+1.599997E-02,+7.999957E-03
+2.044000E-07,+2.199998E-02,+2.399993E-02,-5.960464E-08
+2.064000E-07,+2.599999E-02,+2.399993E-02,-5.960464E-08
+2.084000E-07,+2.999997E-02,+2.399993E-02,+7.999957E-03
+2.104000E-07,+2.999997E-02,+1.599997E-02,+7.999957E-03
+2.124000E-07,+2.999997E-02,+1.599997E-02,-5.960464E-08
+2.144000E-07,+3.399998E-02,+2.399993E-02,-5.960464E-08
+2.164000E-07,+3.399998E-02,+2.399993E-02,+7.999957E-03
+2.184000E-07,+2.999997E-02,+1.599997E-02,+7.999957E-03
+2.204000E-07,+2.999997E-02,+1.599997E-02,-5.960464E-08
