Record Length,Analog:14000
Sample Interval,CH:0.0000000020000
Vertical Units,CH1:V CH2:V CH3:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+2.000000E-01 CH3:+2.000000E-01,,,
Vertical Offset,CH1:-5.840000E-01 CH2:-5.840000E-01 CH3:-5.840000E-01,,,
Horizontal Units,us,,,
Horizontal Scale,2.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMFCQ5R6893,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1,CH2,CH3
Second,Volt,Volt,Volt
-1.391000E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.390800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.390600E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.390400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.390200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.390000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.389800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.389600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.389400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.389200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.389000E-05,-2.400005E-02,-3.200006E-02,+1.599997E-02
-1.388800E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.388600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.388400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.388200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.388000E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.387800E-05,-1.600003E-02,-3.200006E-02,+2.399999E-02
-1.387600E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.387400E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.387200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.387000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.386800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.386600E-05,-2.400005E-02,-3.200006E-02,+1.599997E-02
-1.386400E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.386200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.386000E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.385800E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.385600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.385400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.385200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.385000E-05,-2.400005E-02,-3.200006E-02,+1.599997E-02
-1.384800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.384600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.384400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.384200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.384000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.383800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.383600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.383400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.383200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.383000E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.382800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.382600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.382400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.382200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.382000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.381800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.381600E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.381400E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.381200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.381000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.380800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.380600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.380400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.380200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.380000E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.379800E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.379600E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.379400E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.379200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.379000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.378800E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.378600E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.378400E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.378200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.378000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.377800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.377600E-05,-2.400005E-02,-3.200006E-02,+1.599997E-02
-1.377400E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.377200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.377000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.376800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.376600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.376400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.376200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.376000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.375800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.375600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.375400E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.375200E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.375000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.374800E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.374600E-05,-1.600003E-02,-3.200006E-02,+2.399999E-02
-1.374400E-05,-1.600003E-02,-3.200006E-02,+2.399999E-02
-1.374200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.374000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.373800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.373600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.373400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.373200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.373000E-05,-2.400005E-02,-3.200006E-02,+1.599997E-02
-1.372800E-05,-1.600003E-02,-3.200006E-02,+1.599997E-02
-1.372600E-05,-1.600003E-02,-3.200006E-02,+1.599997E-02
-1.372400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.372200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.372000E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.371800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.371600E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.371400E-05,-2.400005E-02,-3.200006E-02,+1.599997E-02
-1.371200E-05,-2.400005E-02,-3.200006E-02,+1.599997E-02
-1.371000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.370800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.370600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.370400E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.370200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.370000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.369800E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.369600E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.369400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.369200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.369000E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.368800E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.368600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.368400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.368200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.368000E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.367800E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.367600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.367400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.367200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.367000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.366800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.366600E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.366400E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.366200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.366000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.365800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.365600E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.365400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.365200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.365000E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.364800E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.364600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.364400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.364200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.364000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.363800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.363600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.363400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.363200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.363000E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.362800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.362600E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.362400E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.362200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.362000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.361800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.361600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.361400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.361200E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.361000E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.360800E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.360600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.360400E-05,-2.400005E-02,-3.200006E-02,+2.399999E-02
-1.360200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.360000E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.359800E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.359600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.359400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.359200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.359000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.358800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.358600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.358400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.358200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.358000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.357800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.357600E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.357400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.357200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.357000E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.356800E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.356600E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.356400E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.356200E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.356000E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.355800E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.355600E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.355400E-05,-2.400005E-02,-2.400005E-02,+2.399999E-02
-1.355200E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
-1.355000E-05,-1.600003E-02,-2.400005E-02,+1.599997E-02
-1.354800E-05,-2.400005E-02,-2.400005E-02,+1.599997E-02
-1.354600E-05,-1.600003E-02,-2.400005E-02,+2.399999E-02
