Hz_real,Hz_imag,s_1_1_real,s_1_1_imag,s_2_1_real,s_2_1_imag
50000000,0,0.136459872240789,-0.0999324112534382,0.0870463179685072,-0.316662323647787
51164649.6140377,0,0.134627551694154,-0.092972071786339,0.080988175413169,-0.318276740164898
52356427.402545,0,0.133143767185366,-0.0857030842023462,0.0747854625639234,-0.320122820792833
53575965.2618803,0,0.132046845315819,-0.0781058368925855,0.0683998795065477,-0.322228817278588
54823909.8071592,0,0.131382398918706,-0.0701584586263943,0.0617854177760059,-0.324625040633783
56100922.7150982,0,0.13120509545371,-0.0618368278175746,0.0548866156870249,-0.327343832269034
57407681.0748441,0,0.131580897034199,-0.0531147370867582,0.0476363426133156,-0.330419382204655
58744877.7469765,0,0.13258990953021,-0.0439643146429454,0.0399529745536114,-0.333887292784969
60113221.7308706,0,0.134330018021944,-0.0343568623733445,0.0317367835062518,-0.337783727939498
61513438.5406191,0,0.136921534074032,-0.0242643624063548,0.0228653149945662,-0.342143896143213
62946270.5897083,0,0.140513134312232,-0.0136620488899798,0.0131874740906436,-0.346999470237666
64412477.5846567,0,0.145289420479417,-0.00253267075768215,0.00251598960695548,-0.352374318234606
65912836.9278203,0,0.151480454638459,0.00912656746140911,-0.00938209734828613,-0.358277557930586
67448144.1295827,0,0.159373563903832,0.0212928332809973,-0.022797214953398,-0.364692381704992
69019213.2301442,0,0.169327445493584,0.033899833278378,-0.0380913432877218,-0.371558222310362
70626877.2311377,0,0.181787880190586,0.0468095758806671,-0.0557137061542579,-0.378742515911309
72271988.5372964,0,0.197302666510458,0.059768124889852,-0.0762156844795533,-0.38599645721792
73955419.4084103,0,0.21652973163872,0.0723374205869733,-0.100258907410776,-0.392886823427313
75678062.4218104,0,0.240225006400221,0.0837932706665687,-0.128603108416957,-0.398693969100023
77440830.945624,0,0.269182921615826,0.0929807799285618,-0.162046603780899,-0.402267260777144
79244659.6230556,0,0.304079815340416,0.0981303247775197,-0.201269682995984,-0.401841057271042
81090504.8679464,0,0.34514227495704,0.0966761207529645,-0.246502935052605,-0.394853283741099
82979345.371878,0,0.39155367190281,0.0852112624292788,-0.296933768390457,-0.377900478786265
84912182.6230872,0,0.44060087477413,0.0598672716374142,-0.349853110256794,-0.347117350405797
