Hz_real,Hz_imag,Vout_real,Vout_imag,Vin_real,Vin_imag
10000000,0,0.481123458599105,-0.122317601686118,0.485301498312972,-0.0578150149316607
10232929.9228075,0,0.480259556805982,-0.125033263122699,0.484638600231218,-0.0590039711083516
10471285.480509,0,0.479357321161832,-0.127803139225554,0.483947242202816,-0.060209843213141
10715193.0523761,0,0.478415160307304,-0.130627905026998,0.483226337703567,-0.0614323129107079
10964781.9614318,0,0.477431426624461,-0.133508215951478,0.482474771675306,-0.0626710101797712
11220184.5430196,0,0.476404415113585,-0.136444705572679,0.481691401107174,-0.0639255096815741
11481536.2149688,0,0.475332362326949,-0.1394379832685,0.480875055795349,-0.0651953269480588
11748975.5493953,0,0.474213445367975,-0.142488631775461,0.480024539299809,-0.0664799143862767
12022644.3461741,0,0.473045780964612,-0.145597204645091,0.479138630118038,-0.0677786570961976
12302687.7081238,0,0.471827424626051,-0.148764223605861,0.478216083096967,-0.0690908684997917
12589254.1179417,0,0.470556369892158,-0.151990175835465,0.477255631105875,-0.0704157857800841
12882495.5169313,0,0.46923054768518,-0.155275511149536,0.476255986994481,-0.0717525651298241
13182567.3855641,0,0.467847825773338,-0.158620639114377,0.475215845861954,-0.0731002768104779
13489628.8259165,0,0.466406008355874,-0.162025926092919,0.47413388766418,-0.0744579000234553
13803842.6460288,0,0.464902835778922,-0.165491692234874,0.473008780188169,-0.075824317596822
14125375.4462275,0,0.463335984391177,-0.169018208424014,0.471839182424167,-0.0771983104922378
14454397.7074593,0,0.461703066547779,-0.172605693197609,0.470623748367659,-0.0785785521385037
14791083.8816821,0,0.460001630769973,-0.176254309655346,0.469361131285103,-0.0799636025998993
15135612.4843621,0,0.458229162067029,-0.179964162377483,0.468049988478943,-0.081351902589455
15488166.1891248,0,0.456383082425456,-0.183735294374614,0.466688986589093,-0.0827417673394277
15848931.9246111,0,0.454460751468747,-0.187567684094198,0.465276807469763,-0.0841313803435391
16218100.9735893,0,0.452459467288677,-0.191461242511906,0.463812154682169,-0.0855187869879861
16595869.0743756,0,0.450376467446468,-0.195415810338911,0.462293760645314,-0.0869018880908479
16982436.5246174,0,0.448208930138894,-0.199431155379391,0.46072039448866,-0.0882784333722751
17378008.2874937,0,0.445953975520542,-0.203506970075781,0.459090870652164,-0.0896460148807594
17782794.1003892,0,0.443608667168931,-0.207642869282606,0.457404058280756,-0.0910020604038255
18197008.5860998,0,0.441170013673878,-0.211838388313033,0.455658891462009,-0.0923438268946509
18620871.3666287,0,0.438634970326377,-0.216092981305547,0.453854380357394,-0.0936683939493924
19054607.1796325,0,0.436000440875204,-0.220406019961357,0.451989623279288,-0.094972657373356
19498445.9975804,0,0.433263279311329,-0.224776792706067,0.45006381976771,-0.0962533228775791
19952623.1496888,0,0.430420291631011,-0.229204504331953,0.448076284722782,-0.0975068999508747
20417379.4466953,0,0.427468237517957,-0.233688276179492,0.446026463651133,-0.098729695955909
20892961.3085404,0,0.424403831873086,-0.238227146918702,0.443913949086974,-0.099917810501422
21379620.8950223,0,0.421223746107075,-0.242820073992126,0.441738498251596,-0.10106713014626
21877616.2394955,0,0.417924609095922,-0.247465935781781,0.439500052018501,-0.102173323494461
22387211.3856834,0,0.414503007682963,-0.252163534561915,0.437198755255708,-0.103231836744227
22908676.5276777,0,0.410955486592105,-0.256911600297809,0.43483497862191,-0.104237889757314
23442288.1531992,0,0.40727854759618,-0.261708795347825,0.432409341899585,-0.105186472719117
23988329.1901949,0,0.403468647761191,-0.266553720121151,0.429922738955978,-0.106072343463783
24547089.1568503,0,0.399522196561535,-0.271444919736995,0.427376364432516,-0.106890025543003
25118864.3150958,0,0.395435551632783,-0.276380891721851,0.424771742275114,-0.107633807122064
25703957.8276886,0,0.391205012897119,-0.281360094769522,0.422110756232307,-0.108297740792444
26302679.9189538,0,0.386826814761598,-0.286380958573323,0.419395682465933,-0.108875644397121
26915348.0392691,0,0.38229711605076,-0.291441894720649,0.416629224440598,-0.109361102973286
27542287.0333816,0,0.377611987292393,-0.296541308616214,0.413814550284299,-0.109747471927947
28183829.3126445,0,0.372767394927822,-0.301677612370798,0.410955332843928,-0.110027881575733
28840315.031266,0,0.367759181965583,-0.306849238556297,0.408055792697058,-0.110195243186175
29512092.2666638,0,0.362583044538985,-0.31205465468387,0.405120744426232,-0.110242256711024
30199517.2040201,0,0.357234503763274,-0.317292378208536,0.402155646515161,-0.110161420392589
30902954.3251359,0,0.351708872215908,-0.322560991798588,0.399166655288988,-0.109945042493582
31622776.6016837,0,0.346001214283104,-0.327859158529348,0.396160683394352,-0.109585255440305
32359365.6929628,0,0.340106299526195,-0.333185636564928,0.393145463400856,-0.109074032737421
33113112.1482591,0,0.334018548121381,-0.33853929277499,0.390129617205152,-0.108403209098293
33884415.6139202,0,0.327731967315149,-0.343919114591168,0.387122732033568,-0.107564504345081
34673685.0452531,0,0.321240077713762,-0.349324219233795,0.384135443970529,-0.106549551774041
35481338.9233575,0,0.314535828087991,-0.354753859226066,0.381179530088981,-0.105349931862053
36307805.4770101,0,0.307611497223076,-0.360207422850223,0.37826801042642,-0.103957212420476
37153522.9097172,0,0.300458581178752,-0.365684427876331,0.375415261235986,-0.102362996595032
38018939.6320561,0,0.293067664146294,-0.371184506493281,0.372637141145235,-0.100558980481681
38904514.499428,0,0.285428270901623,-0.376707378874317,0.36995113207275,-0.0985370225985747
39810717.0553497,0,0.277528698661122,-0.382252812190696,0.367376496979031,-0.096289228048706
40738027.7804112,0,0.269355825959331,-0.387820561116382,0.364934456753224,-0.0938080509582975
