Hz_real,Hz_imag,Vout_real,Vout_imag,Vin_real,Vin_imag
1000000,0,0.499805868492814,-0.0125165749262498,0.499846837261228,-0.00611602104601049
1023292.99228075,0,0.499796722133025,-0.0128079794646289,0.499839622099583,-0.0062583133547401
1047128.5480509,0,0.499787144986318,-0.0131061613974635,0.499832067204141,-0.00640390805871156
1071519.30523761,0,0.499777116776145,-0.0134112778553591,0.499824156593274,-0.00655288122172441
1096478.19614319,0,0.499766616272842,-0.0137234895764663,0.499815873535013,-0.00670531061798907
1122018.45430196,0,0.499755621248949,-0.014042960986767,0.499807200511956,-0.00686127576759045
1148153.62149688,0,0.499744108432449,-0.0143698602819644,0.499798119184556,-0.00702085797246564
1174897.55493953,0,0.499732053457829,-0.0147043595109944,0.499788610352697,-0.00718414035288579
1202264.43461741,0,0.499719430814856,-0.0150466346611772,0.499778653915508,-0.00735120788443
1230268.77081238,0,0.499706213794979,-0.0153968657450241,0.499768228829299,-0.00752214743543747
1258925.41179417,0,0.499692374435232,-0.0157552368887169,0.499757313063568,-0.00769704780492165
1288249.55169313,0,0.499677883459529,-0.0161219364222714,0.499745883554965,-0.00787599976092829
1318256.73855641,0,0.499662710217237,-0.0164971569714006,0.499733916159142,-0.00805909607931632
1348962.88259165,0,0.499646822618897,-0.0168810955510856,0.499721385600378,-0.0082464315829383
1380384.26460288,0,0.499630187068956,-0.0172739536608667,0.499708265418884,-0.00843810318119388
1412537.54462275,0,0.499612768395394,-0.0176759373818596,0.49969452791569,-0.00863420990992676
1445439.77074593,0,0.499594529776082,-0.0180872574755033,0.499680144094997,-0.00883485297163239
1479108.38816821,0,0.499575432661737,-0.0185081294840427,0.499665083603886,-0.00904013577593966
1513561.24843621,0,0.499555436695316,-0.018938773832746,0.499649314669262,-0.00925016398032633
1548816.61891248,0,0.499534499627683,-0.0193794159338546,0.499632804031923,-0.00946504553102331
1584893.19246111,0,0.499512577229389,-0.0198302862922606,0.499615516877601,-0.00968489070405871
1621810.09735893,0,0.499489623198384,-0.0202916206129029,0.499597416764873,-0.00990981214638736
1659586.90743756,0,0.499465589063482,-0.0207636599098693,0.499578465549781,-0.0101399249170466
1698243.65246174,0,0.499440424083378,-0.0212466506171899,0.499558623307028,-0.0103753465282729
1737800.82874937,0,0.499414075141035,-0.0217408447012987,0.499537848247595,-0.0106161969865086
1778279.41003892,0,0.499386486633223,-0.0222464997751419,0.49951609663263,-0.01086259883322
1819700.85860998,0,0.499357600354991,-0.0227638792138989,0.499493322683441,-0.0111146771854439
